# .test .cputime .temperature .time_mat1 .time_mat2
293 0.232196  6.331 0.003048 0.004070
294 0.232788  5.844 0.003036 0.004109
295 0.234746  6.331 0.003055 0.004156
296 0.233397  5.844 0.003031 0.004187
297 0.234815  6.331 0.003073 0.004226
298 0.234689  5.357 0.003143 0.004271
299 0.236028  5.844 0.003183 0.004321
300 0.236692  5.844 0.003159 0.004359
301 0.237749  6.331 0.003214 0.004319
302 0.237527  6.331 0.003208 0.004359
303 0.239731  5.844 0.003229 0.004397
304 0.239925  5.357 0.003215 0.004432
305 0.241288  6.331 0.003306 0.004529
306 0.242053  5.844 0.003268 0.004491
307 0.242707  6.331 0.003286 0.004623
308 0.242995  6.818 0.003332 0.004628
309 0.243689  7.305 0.003401 0.004667
310 0.244004  5.357 0.003327 0.004696
311 0.245306  5.844 0.003405 0.004714
312 0.246311  6.331 0.003359 0.004775
313 0.246570  6.331 0.003481 0.004834
314 0.247367  5.844 0.003427 0.004820
315 0.248177  6.331 0.003453 0.004851
316 0.248134  5.357 0.003507 0.004893
317 0.250335  6.331 0.003561 0.004945
318 0.251096  6.818 0.003576 0.005047
319 0.260881  5.357 0.003588 0.005005
320 0.255710  6.331 0.003613 0.005069
321 0.255130  4.870 0.003586 0.005072
322 0.257203  5.844 0.003641 0.005084
323 0.257576  5.844 0.003679 0.005146
324 0.258467  5.357 0.003689 0.005182
325 0.261403  6.331 0.003700 0.005181
326 0.259720  6.331 0.003739 0.005302
327 0.260017  5.844 0.003757 0.005336
328 0.261028  6.331 0.003789 0.005349
329 0.262539  6.331 0.003794 0.005351
330 0.262840  6.331 0.003823 0.005382
331 0.265160  7.792 0.003806 0.005413
332 0.264602  5.844 0.003873 0.005535
333 0.265302  5.357 0.003874 0.005496
334 0.266112  7.305 0.003910 0.005560
335 0.266595  6.331 0.003911 0.005695
336 0.266905  6.818 0.003945 0.005634
337 0.268908  6.331 0.003897 0.005660
338 0.270455  6.331 0.003996 0.005799
339 0.269760  6.818 0.003978 0.005726
340 0.271725  6.331 0.004019 0.005776
341 0.271555  6.818 0.003973 0.005821
342 0.271906  6.331 0.004086 0.005875
343 0.273845  7.305 0.004060 0.005906
344 0.273600  7.305 0.004116 0.005940
345 0.274579  7.305 0.004092 0.006030
346 0.275021  5.844 0.004180 0.006052
347 0.274921  7.792 0.004151 0.006096
348 0.276945  7.305 0.004210 0.006104
349 0.277855  6.818 0.004189 0.006170
350 0.277825  8.279 0.004238 0.006274
351 0.278639  6.331 0.004251 0.006302
352 0.279549  6.818 0.004285 0.006254
353 0.280785  7.792 0.004285 0.006321
354 0.281538  6.818 0.004350 0.006335
355 0.282546  6.818 0.004338 0.006494
356 0.283233  7.305 0.004393 0.006396
357 0.283586  7.792 0.004378 0.006481
358 0.284328  6.818 0.004455 0.006560
359 0.285139  6.331 0.004437 0.006573
360 0.285762  7.305 0.004518 0.006650
361 0.286459  6.331 0.004492 0.006681
362 0.288317  7.305 0.004561 0.006699
363 0.288328  8.279 0.004519 0.006763
364 0.288563  6.818 0.004593 0.006810
365 0.290774  6.331 0.004582 0.006811
366 0.291325  7.305 0.004630 0.006865
367 0.291605  6.818 0.004642 0.006954
368 0.292924  7.305 0.004707 0.006932
369 0.293639  7.792 0.004672 0.006999
370 0.293488  6.818 0.004753 0.007034
371 0.295053  7.305 0.004724 0.007084
372 0.295453  6.818 0.004770 0.007201
373 0.296190  6.818 0.004783 0.007208
374 0.296790  6.818 0.004817 0.007209
375 0.297817  7.305 0.004829 0.007224
376 0.297868  7.792 0.004822 0.007307
377 0.298875  7.305 0.004912 0.007414
378 0.300137  6.818 0.004956 0.007383
379 0.301044  7.792 0.004921 0.007468
380 0.300832  7.305 0.004971 0.007471
381 0.303302  6.818 0.005009 0.007491
382 0.302474  6.818 0.004974 0.007523
383 0.304051  7.305 0.005056 0.007606
384 0.303628  7.792 0.005092 0.007648
385 0.305179  6.818 0.005117 0.007683
386 0.305412  7.305 0.005081 0.007825
387 0.306266  8.279 0.005175 0.007897
388 0.308676  7.792 0.005140 0.007784
389 0.309120  7.305 0.005230 0.007875
390 0.309802  7.792 0.005213 0.007966
391 0.310626  7.792 0.005292 0.007954
392 0.310912  6.818 0.005284 0.008068
393 0.310812  8.279 0.005276 0.008059
394 0.314786  7.792 0.005258 0.008050
395 0.314286  7.792 0.005321 0.008125
396 0.314698  7.792 0.005302 0.008124
397 0.315811  8.279 0.005409 0.008255
398 0.316022  7.792 0.005387 0.008246
399 0.317612  8.279 0.005445 0.008371
400 0.317250  7.305 0.005502 0.008342
401 0.317474  7.792 0.005562 0.008408
402 0.318062  7.792 0.005527 0.008427
403 0.320316  7.792 0.005573 0.008498
404 0.320440  8.766 0.005564 0.008514
405 0.320767  7.305 0.005622 0.008576
406 0.322319  8.279 0.005570 0.008577
407 0.322761  7.792 0.005693 0.008763
408 0.323403  9.253 0.005649 0.008686
409 0.324460  8.279 0.005758 0.008732
410 0.325144  7.305 0.005710 0.008921
411 0.324613  7.792 0.005831 0.008862
